dataset,experiment,success,latency_ms,detail
SQuAD,ingestion,True,7.39,56be85543aeaaa14008c9063
SQuAD,ingestion,True,7.39,56be85543aeaaa14008c9065
SQuAD,ingestion,True,7.39,56be85543aeaaa14008c9066
SQuAD,ingestion,True,7.39,56bf6b0f3aeaaa14008c9601
SQuAD,ingestion,True,7.39,56bf6b0f3aeaaa14008c9602
SQuAD,ingestion,True,7.39,56bf6b0f3aeaaa14008c9603
SQuAD,ingestion,True,7.39,56bf6b0f3aeaaa14008c9604
SQuAD,ingestion,True,7.39,56bf6b0f3aeaaa14008c9605
SQuAD,ingestion,True,7.39,56d43c5f2ccc5a1400d830a9
SQuAD,ingestion,True,7.39,56d43c5f2ccc5a1400d830aa
SQuAD,ingestion,True,1.68,56d43c5f2ccc5a1400d830ab
SQuAD,ingestion,True,1.68,56d43c5f2ccc5a1400d830ac
SQuAD,ingestion,True,1.68,56d43c5f2ccc5a1400d830ad
SQuAD,ingestion,True,1.68,56d43ce42ccc5a1400d830b4
SQuAD,ingestion,True,1.68,56d43ce42ccc5a1400d830b5
SQuAD,ingestion,True,1.68,56be86cf3aeaaa14008c9076
SQuAD,ingestion,True,1.68,56be86cf3aeaaa14008c9078
SQuAD,ingestion,True,1.68,56be86cf3aeaaa14008c9079
SQuAD,ingestion,True,1.68,56bf6e823aeaaa14008c9627
SQuAD,ingestion,True,1.68,56bf6e823aeaaa14008c9629
SQuAD,ingestion,True,2.86,56bf6e823aeaaa14008c962a
SQuAD,ingestion,True,2.86,56bf6e823aeaaa14008c962b
SQuAD,ingestion,True,2.86,56d43da72ccc5a1400d830bd
SQuAD,ingestion,True,2.86,56d43da72ccc5a1400d830be
SQuAD,ingestion,True,2.86,56d43da72ccc5a1400d830bf
SQuAD,ingestion,True,2.86,56d43da72ccc5a1400d830c0
SQuAD,ingestion,True,2.86,56d43da72ccc5a1400d830c1
SQuAD,ingestion,True,2.86,56be88473aeaaa14008c9080
SQuAD,ingestion,True,2.86,56be88473aeaaa14008c9083
SQuAD,ingestion,True,2.86,56be88473aeaaa14008c9084
SQuAD,ingestion,True,2.75,56bf725c3aeaaa14008c9643
SQuAD,ingestion,True,2.75,56bf725c3aeaaa14008c9644
SQuAD,ingestion,True,2.75,56bf725c3aeaaa14008c9645
SQuAD,ingestion,True,2.75,56bf725c3aeaaa14008c9646
SQuAD,ingestion,True,2.75,56bf725c3aeaaa14008c9647
SQuAD,ingestion,True,2.75,56d43f7e2ccc5a1400d830c7
SQuAD,ingestion,True,2.75,56d43f7e2ccc5a1400d830c8
SQuAD,ingestion,True,2.75,56d43f7e2ccc5a1400d830c9
SQuAD,ingestion,True,2.75,56d43f7e2ccc5a1400d830cb
SQuAD,ingestion,True,2.75,56be892d3aeaaa14008c908b
SQuAD,ingestion,True,0.93,56be892d3aeaaa14008c908c
SQuAD,ingestion,True,0.93,56be892d3aeaaa14008c908d
SQuAD,ingestion,True,0.93,56be892d3aeaaa14008c908e
SQuAD,ingestion,True,0.93,56bf74d53aeaaa14008c9659
SQuAD,ingestion,True,0.93,56bf74d53aeaaa14008c965a
SQuAD,ingestion,True,0.93,56bf74d53aeaaa14008c965b
SQuAD,ingestion,True,0.93,56bf74d53aeaaa14008c965d
SQuAD,ingestion,True,0.93,56d440df2ccc5a1400d830d1
SQuAD,ingestion,True,0.93,56d440df2ccc5a1400d830d2
SQuAD,ingestion,True,0.93,56d440df2ccc5a1400d830d3
SQuAD,ingestion,True,2.16,56d440df2ccc5a1400d830d4
SQuAD,ingestion,True,2.16,56d440df2ccc5a1400d830d5
SQuAD,ingestion,True,2.16,56be8a583aeaaa14008c9094
SQuAD,ingestion,True,2.16,56be8a583aeaaa14008c9095
SQuAD,ingestion,True,2.16,56be8a583aeaaa14008c9097
SQuAD,ingestion,True,2.16,56bf76ef3aeaaa14008c9664
SQuAD,ingestion,True,2.16,56bf76ef3aeaaa14008c9665
SQuAD,ingestion,True,2.16,56bf76ef3aeaaa14008c9666
SQuAD,ingestion,True,2.16,56bf76ef3aeaaa14008c9667
SQuAD,ingestion,True,2.16,56d443ef2ccc5a1400d830db
SQuAD,ingestion,True,5.29,56d443ef2ccc5a1400d830dc
SQuAD,ingestion,True,5.29,56d443ef2ccc5a1400d830dd
SQuAD,ingestion,True,5.29,56d443ef2ccc5a1400d830df
SQuAD,ingestion,True,5.29,56be8bab3aeaaa14008c909f
SQuAD,ingestion,True,5.29,56be8bab3aeaaa14008c90a0
SQuAD,ingestion,True,5.29,56be8bab3aeaaa14008c90a1
SQuAD,ingestion,True,5.29,56bf79c73aeaaa14008c966d
SQuAD,ingestion,True,5.29,56bf79c73aeaaa14008c966e
SQuAD,ingestion,True,5.29,56bf79c73aeaaa14008c966f
SQuAD,ingestion,True,5.29,56bf79c73aeaaa14008c9670
SQuAD,ingestion,True,3.32,56bf79c73aeaaa14008c9671
SQuAD,ingestion,True,3.32,56d45abf2ccc5a1400d830e5
SQuAD,ingestion,True,3.32,56d45abf2ccc5a1400d830e6
SQuAD,ingestion,True,3.32,56d45abf2ccc5a1400d830e7
SQuAD,ingestion,True,3.32,56d45abf2ccc5a1400d830e8
SQuAD,ingestion,True,3.32,56d45abf2ccc5a1400d830e9
SQuAD,ingestion,True,3.32,56be8c8a3aeaaa14008c90a9
SQuAD,ingestion,True,3.32,56be8c8a3aeaaa14008c90ab
SQuAD,ingestion,True,3.32,56be8c8a3aeaaa14008c90ac
SQuAD,ingestion,True,3.32,56bf7cb63aeaaa14008c9677
SQuAD,ingestion,True,4.79,56bf7cb63aeaaa14008c9678
SQuAD,ingestion,True,4.79,56bf7cb63aeaaa14008c9679
SQuAD,ingestion,True,4.79,56bf7cb63aeaaa14008c967a
SQuAD,ingestion,True,4.79,56bf7cb63aeaaa14008c967b
SQuAD,ingestion,True,4.79,56d45fcb2ccc5a1400d830f9
SQuAD,ingestion,True,4.79,56d45fcb2ccc5a1400d830fa
SQuAD,ingestion,True,4.79,56d45fcb2ccc5a1400d830fb
SQuAD,ingestion,True,4.79,56d45fcb2ccc5a1400d830fc
SQuAD,ingestion,True,4.79,56d45fcb2ccc5a1400d830fd
SQuAD,ingestion,True,4.79,56be8d423aeaaa14008c90b2
SQuAD,ingestion,True,1.93,56be8d423aeaaa14008c90b3
SQuAD,ingestion,True,1.93,56be8d423aeaaa14008c90b6
SQuAD,ingestion,True,1.93,56bf7e603aeaaa14008c9681
SQuAD,ingestion,True,1.93,56bf7e603aeaaa14008c9682
SQuAD,ingestion,True,1.93,56bf7e603aeaaa14008c9685
SQuAD,ingestion,True,1.93,56d462f82ccc5a1400d8311f
SQuAD,ingestion,True,1.93,56d462f82ccc5a1400d83120
SQuAD,ingestion,True,1.93,56d462f82ccc5a1400d83121
SQuAD,ingestion,True,1.93,56d462f82ccc5a1400d83123
SQuAD,ingestion,True,1.93,56be8e353aeaaa14008c90c6
SQuAD,ingestion,True,2.71,56be8e353aeaaa14008c90c7
SQuAD,ingestion,True,2.71,56be8e353aeaaa14008c90c8
SQuAD,ingestion,True,2.71,56be8e353aeaaa14008c90c9
SQuAD,ingestion,True,2.71,56bf89cfa10cfb1400551162
SQuAD,ingestion,True,2.71,56bf89cfa10cfb1400551163
SQuAD,ingestion,True,2.71,56d4831f2ccc5a1400d83154
SQuAD,ingestion,True,2.71,56d4831f2ccc5a1400d83155
SQuAD,ingestion,True,2.71,56d4831f2ccc5a1400d83156
SQuAD,ingestion,True,2.71,56d4831f2ccc5a1400d83157
SQuAD,ingestion,True,2.71,56d4831f2ccc5a1400d83158
SQuAD,ingestion,True,2.18,56be8fdf3aeaaa14008c90da
SQuAD,ingestion,True,2.18,56be8fdf3aeaaa14008c90db
SQuAD,ingestion,True,2.18,56be8fdf3aeaaa14008c90dc
SQuAD,ingestion,True,2.18,56be8fdf3aeaaa14008c90dd
SQuAD,ingestion,True,2.18,56be8fdf3aeaaa14008c90de
SQuAD,ingestion,True,2.18,56bf8c8aa10cfb140055116b
SQuAD,ingestion,True,2.18,56bf8c8aa10cfb140055116c
SQuAD,ingestion,True,2.18,56bf8c8aa10cfb140055116d
SQuAD,ingestion,True,2.18,56bf8c8aa10cfb140055116e
SQuAD,ingestion,True,2.18,56bf8c8aa10cfb140055116f
SQuAD,ingestion,True,2.52,56d484312ccc5a1400d8315e
SQuAD,ingestion,True,2.52,56d484312ccc5a1400d8315f
SQuAD,ingestion,True,2.52,56d484312ccc5a1400d83160
SQuAD,ingestion,True,2.52,56d484312ccc5a1400d83161
SQuAD,ingestion,True,2.52,56d484312ccc5a1400d83162
