experiment,success,latency_ms
ingest,True,24.53
ingest,True,24.53
ingest,True,24.53
ingest,True,24.53
ingest,True,24.53
ingest,True,24.53
ingest,True,24.53
ingest,True,24.53
ingest,True,24.53
ingest,True,24.53
ingest,True,29.86
ingest,True,29.86
ingest,True,29.86
ingest,True,29.86
ingest,True,29.86
ingest,True,29.86
ingest,True,29.86
ingest,True,29.86
ingest,True,29.86
ingest,True,29.86
ingest,True,19.5
ingest,True,19.5
ingest,True,19.5
ingest,True,19.5
ingest,True,19.5
ingest,True,19.5
ingest,True,19.5
ingest,True,19.5
ingest,True,19.5
ingest,True,19.5
ingest,True,22.41
ingest,True,22.41
ingest,True,22.41
ingest,True,22.41
ingest,True,22.41
ingest,True,22.41
ingest,True,22.41
ingest,True,22.41
ingest,True,22.41
ingest,True,22.41
ingest,True,21.91
ingest,True,21.91
ingest,True,21.91
ingest,True,21.91
ingest,True,21.91
ingest,True,21.91
ingest,True,21.91
ingest,True,21.91
ingest,True,21.91
ingest,True,21.91
ingest,True,22.5
ingest,True,22.5
ingest,True,22.5
ingest,True,22.5
ingest,True,22.5
ingest,True,22.5
ingest,True,22.5
ingest,True,22.5
ingest,True,22.5
ingest,True,22.5
ingest,True,38.81
ingest,True,38.81
ingest,True,38.81
ingest,True,38.81
ingest,True,38.81
ingest,True,38.81
ingest,True,38.81
ingest,True,38.81
ingest,True,38.81
ingest,True,38.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.1
ingest,True,20.1
ingest,True,20.1
ingest,True,20.1
ingest,True,20.1
ingest,True,20.1
ingest,True,20.1
ingest,True,20.1
ingest,True,20.1
ingest,True,20.1
ingest,True,16.4
ingest,True,16.4
ingest,True,16.4
ingest,True,16.4
ingest,True,16.4
ingest,True,16.4
ingest,True,16.4
ingest,True,16.4
ingest,True,16.4
ingest,True,16.4
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,18.46
ingest,True,18.46
ingest,True,18.46
ingest,True,18.46
ingest,True,18.46
ingest,True,18.46
ingest,True,18.46
ingest,True,18.46
ingest,True,18.46
ingest,True,18.46
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,20.81
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,19.1
ingest,True,21.2
ingest,True,21.2
ingest,True,21.2
ingest,True,21.2
ingest,True,21.2
ingest,True,21.2
ingest,True,21.2
ingest,True,21.2
ingest,True,21.2
ingest,True,21.2
ingest,True,22.18
ingest,True,22.18
ingest,True,22.18
ingest,True,22.18
ingest,True,22.18
ingest,True,22.18
ingest,True,22.18
ingest,True,22.18
ingest,True,22.18
ingest,True,22.18
ingest,True,19.7
ingest,True,19.7
ingest,True,19.7
ingest,True,19.7
ingest,True,19.7
ingest,True,19.7
ingest,True,19.7
ingest,True,19.7
ingest,True,19.7
ingest,True,19.7
ingest,True,21.7
ingest,True,21.7
ingest,True,21.7
ingest,True,21.7
ingest,True,21.7
ingest,True,21.7
ingest,True,21.7
ingest,True,21.7
ingest,True,21.7
ingest,True,21.7
ingest,True,90.63
ingest,True,90.63
ingest,True,90.63
ingest,True,90.63
ingest,True,90.63
ingest,True,90.63
ingest,True,90.63
ingest,True,90.63
ingest,True,90.63
ingest,True,90.63
ingest,True,20.46
ingest,True,20.46
ingest,True,20.46
ingest,True,20.46
ingest,True,20.46
ingest,True,20.46
ingest,True,20.46
ingest,True,20.46
ingest,True,20.46
