experiment,success,latency_ms
ingest,True,55.66
ingest,True,55.66
ingest,True,55.66
ingest,True,55.66
ingest,True,55.66
ingest,True,55.66
ingest,True,55.66
ingest,True,55.66
ingest,True,55.66
ingest,True,55.66
ingest,True,40.02
ingest,True,40.02
ingest,True,40.02
ingest,True,40.02
ingest,True,40.02
ingest,True,40.02
ingest,True,40.02
ingest,True,40.02
ingest,True,40.02
ingest,True,40.02
ingest,True,37.42
ingest,True,37.42
ingest,True,37.42
ingest,True,37.42
ingest,True,37.42
ingest,True,37.42
ingest,True,37.42
ingest,True,37.42
ingest,True,37.42
ingest,True,37.42
ingest,True,33.86
ingest,True,33.86
ingest,True,33.86
ingest,True,33.86
ingest,True,33.86
ingest,True,33.86
ingest,True,33.86
ingest,True,33.86
ingest,True,33.86
ingest,True,33.86
ingest,True,38.92
ingest,True,38.92
ingest,True,38.92
ingest,True,38.92
ingest,True,38.92
ingest,True,38.92
ingest,True,38.92
ingest,True,38.92
ingest,True,38.92
ingest,True,38.92
ingest,True,48.98
ingest,True,48.98
ingest,True,48.98
ingest,True,48.98
ingest,True,48.98
ingest,True,48.98
ingest,True,48.98
ingest,True,48.98
ingest,True,48.98
ingest,True,48.98
ingest,True,35.13
ingest,True,35.13
ingest,True,35.13
ingest,True,35.13
ingest,True,35.13
ingest,True,35.13
ingest,True,35.13
ingest,True,35.13
ingest,True,35.13
ingest,True,35.13
ingest,True,40.14
ingest,True,40.14
ingest,True,40.14
ingest,True,40.14
ingest,True,40.14
ingest,True,40.14
ingest,True,40.14
ingest,True,40.14
ingest,True,40.14
ingest,True,40.14
ingest,True,33.26
ingest,True,33.26
ingest,True,33.26
ingest,True,33.26
ingest,True,33.26
ingest,True,33.26
ingest,True,33.26
ingest,True,33.26
ingest,True,33.26
ingest,True,33.26
ingest,True,109.51
ingest,True,109.51
ingest,True,109.51
ingest,True,109.51
ingest,True,109.51
ingest,True,109.51
ingest,True,109.51
ingest,True,109.51
ingest,True,109.51
ingest,True,109.51
ingest,True,35.24
ingest,True,35.24
ingest,True,35.24
ingest,True,35.24
ingest,True,35.24
ingest,True,35.24
ingest,True,35.24
ingest,True,35.24
ingest,True,35.24
ingest,True,35.24
ingest,True,39.48
ingest,True,39.48
ingest,True,39.48
ingest,True,39.48
ingest,True,39.48
ingest,True,39.48
ingest,True,39.48
ingest,True,39.48
ingest,True,39.48
ingest,True,39.48
ingest,True,35.59
ingest,True,35.59
ingest,True,35.59
ingest,True,35.59
ingest,True,35.59
ingest,True,35.59
ingest,True,35.59
ingest,True,35.59
ingest,True,35.59
ingest,True,35.59
ingest,True,36.02
ingest,True,36.02
ingest,True,36.02
ingest,True,36.02
ingest,True,36.02
ingest,True,36.02
ingest,True,36.02
ingest,True,36.02
ingest,True,36.02
ingest,True,36.02
ingest,True,35.66
ingest,True,35.66
ingest,True,35.66
ingest,True,35.66
ingest,True,35.66
ingest,True,35.66
ingest,True,35.66
ingest,True,35.66
ingest,True,35.66
ingest,True,35.66
ingest,True,37.32
ingest,True,37.32
ingest,True,37.32
ingest,True,37.32
ingest,True,37.32
ingest,True,37.32
ingest,True,37.32
ingest,True,37.32
ingest,True,37.32
ingest,True,37.32
ingest,True,35.22
ingest,True,35.22
ingest,True,35.22
ingest,True,35.22
ingest,True,35.22
ingest,True,35.22
ingest,True,35.22
ingest,True,35.22
ingest,True,35.22
ingest,True,35.22
ingest,True,35.37
ingest,True,35.37
ingest,True,35.37
ingest,True,35.37
ingest,True,35.37
ingest,True,35.37
ingest,True,35.37
ingest,True,35.37
ingest,True,35.37
ingest,True,35.37
ingest,True,33.76
ingest,True,33.76
ingest,True,33.76
ingest,True,33.76
ingest,True,33.76
ingest,True,33.76
ingest,True,33.76
ingest,True,33.76
ingest,True,33.76
ingest,True,33.76
ingest,True,30.37
ingest,True,30.37
ingest,True,30.37
ingest,True,30.37
ingest,True,30.37
ingest,True,30.37
ingest,True,30.37
ingest,True,30.37
ingest,True,30.37
ingest,True,30.37
retrieve,True,85.52
retrieve,True,62.51
retrieve,True,68.52
retrieve,True,59.99
retrieve,True,59.51
retrieve,True,64.53
retrieve,True,61.53
retrieve,True,81.0
retrieve,True,608.97
retrieve,True,49.99
retrieve,True,61.53
retrieve,True,58.52
retrieve,True,66.0
retrieve,True,64.52
retrieve,True,61.51
retrieve,True,74.52
retrieve,True,47.02
retrieve,True,63.51
retrieve,True,62.03
retrieve,True,63.5
retrieve,True,57.0
retrieve,True,60.53
retrieve,True,57.52
retrieve,True,58.0
retrieve,True,61.52
retrieve,True,55.51
retrieve,True,62.0
retrieve,True,58.52
retrieve,True,72.51
retrieve,True,60.0
retrieve,True,73.52
retrieve,True,105.52
retrieve,True,61.0
retrieve,True,86.53
retrieve,True,60.54
retrieve,True,64.51
retrieve,True,91.5
retrieve,True,74.01
retrieve,True,68.52
retrieve,True,68.53
retrieve,True,57.0
retrieve,True,57.0
retrieve,True,55.52
retrieve,True,57.97
retrieve,True,55.51
retrieve,True,50.53
retrieve,True,53.0
retrieve,True,60.52
retrieve,True,51.01
retrieve,True,54.52
retrieve,True,59.52
retrieve,True,52.01
retrieve,True,51.0
retrieve,True,59.52
retrieve,True,60.0
retrieve,True,57.5
retrieve,True,63.52
retrieve,True,58.0
retrieve,True,151.03
retrieve,True,55.53
retrieve,True,59.0
retrieve,True,63.52
retrieve,True,58.51
retrieve,True,65.98
retrieve,True,64.52
retrieve,True,67.52
retrieve,True,62.01
retrieve,True,76.0
retrieve,True,70.53
retrieve,True,68.53
retrieve,True,61.52
retrieve,True,60.0
retrieve,True,67.52
retrieve,True,60.52
retrieve,True,61.0
retrieve,True,56.51
retrieve,True,52.52
retrieve,True,74.01
retrieve,True,86.01
retrieve,True,65.0
retrieve,True,89.51
retrieve,True,65.52
retrieve,True,85.26
retrieve,True,71.53
retrieve,True,58.0
retrieve,True,66.51
retrieve,True,58.43
retrieve,True,66.01
retrieve,True,72.0
retrieve,True,76.86
retrieve,True,60.52
retrieve,True,50.52
retrieve,True,55.99
retrieve,True,70.53
retrieve,True,53.52
retrieve,True,59.01
retrieve,True,61.51
retrieve,True,70.51
retrieve,True,62.51
retrieve,True,65.0
compress,True,13.51
compress,True,7.02
compress,True,9.99
compress,True,5.0
compress,True,10.0
compress,True,5.0
compress,True,8.04
compress,True,5.96
compress,True,9.0
compress,True,7.0
compress,True,5.0
compress,True,9.0
compress,True,5.0
compress,True,8.0
compress,True,6.51
compress,True,12.0
compress,True,6.0
compress,True,4.0
compress,True,9.0
compress,True,5.0
compress,True,7.0
compress,True,7.01
compress,True,4.0
compress,True,8.0
compress,True,5.0
compress,True,3.99
compress,True,8.01
compress,True,5.0
compress,True,3.01
compress,True,6.0
compress,True,5.0
compress,True,3.13
compress,True,5.02
compress,True,5.98
compress,True,3.99
compress,True,4.03
compress,True,5.98
compress,True,4.01
compress,True,3.99
compress,True,3.02
compress,True,6.98
compress,True,4.0
compress,True,4.0
compress,True,5.0
compress,True,6.0
compress,True,4.0
compress,True,27.15
compress,True,4.01
compress,True,4.08
compress,True,6.0
compress,True,5.0
compress,True,4.0
compress,True,3.0
compress,True,9.0
compress,True,3.0
compress,True,4.03
compress,True,6.98
compress,True,4.01
compress,True,3.99
compress,True,15.99
compress,True,4.0
compress,True,8.0
compress,True,3.01
compress,True,4.01
compress,True,6.99
compress,True,4.0
compress,True,3.27
compress,True,3.98
compress,True,7.0
compress,True,4.0
compress,True,4.0
compress,True,5.0
compress,True,6.0
compress,True,3.0
compress,True,4.0
compress,True,7.0
compress,True,4.0
compress,True,4.0
compress,True,6.0
compress,True,5.0
compress,True,3.0
compress,True,5.03
compress,True,6.97
compress,True,3.02
compress,True,3.03
compress,True,8.99
compress,True,4.5
compress,True,4.01
compress,True,6.01
compress,True,3.99
compress,True,4.0
compress,True,5.03
compress,True,6.97
compress,True,3.01
compress,True,3.99
compress,True,7.0
compress,True,4.0
compress,True,3.01
compress,True,6.99
compress,True,5.02
